"Count","Name"
"3","HURRICANE CREEK"
"3","BEAVERDAM CREEK"
"3","BIGBY CREEK"
"2","FORT LOUDON RES"
"2","BATTLE CREEK"
"2","BUCKNER PARK LAKE"
"2","MARTIN CITY PARK"
"2","BLEDSOE CREEK"
"2","WATTS BAR RES."
"2","LAKE JENNIE"
"2","INDIAN LAKE"
"2","NORTH RIVER"
"2","MARTIN CITY POND"
"2","STOCK CREEK"
"2","S F HOLSTON RIVER"
"2","HOLSTON RIVER, N. FORK"
"2","LAKE ST. GEORGE"
"2","CANEY FORK"
"2","MOUSE CREEK"
"2","CANE CREEK"
"2","PATRICK HENRY LAKE"
"2","FT. PATRICK  HENRY"
"2","TURNBULL CREEK"
"2","WC JOHNSON PARK"
"2","NORMANDY RESERVOIR"
"2","WILLIAMSPORT-BLUECAT LAKE"
"2","DINNINGS WATERSHED"
"2","GREAT FALLS LAKE"
"2","JOHN SEVIER RESERVOIR"
"2","HOLIDAY LAKE"
"2","CUMBERLAND RIVER"
"2","JOHNSON PARK LAKE"
"2","INDIAN BOUNDARY LAKE"
"2","NASHOBA PARK"
"2","ROGERS CREEK"
"2","GROVE PARK LAKE"
"2","HALSTEAD LAKE"
"2","WOODRUN LAKE"
"2","BEAVER CREEK"
"2","N. F. HOLSTON RIVER"
"2","BROWN'S POND"
"2","BLUECAT LAKE"
"2","ROONE RES"
"2","SOUTH HOLSTON"
"2","PIN OAK LAKE"
"2","QUARRY"
"2","POLAND CREEK"
"2","SODDY LAKE"
"2","BULL RUN CREEK"
"2","NORMANDY RESERVIOR"
"2","BOONE LAKE"
"2","N.F. HOLSTON RIVER"
"2","RAY BELL POND"
"2","SPRINGBROOK LAKE"
"2","WATTS  BAR"
"2","DOE CREEK"
"2","SOUTH HALSTON RIVER"
"2","LONE OAK"
"2","LAKE CANTERBURY"
"1","LAKE HUFFINE"
"1","SWAN LAKE"
"1","WEST SANDY CREEK"
"1","BOWIE LAKE"
"1","BRUSH CREEK"
"1","WILLIAMSPORT LAKE (SHELLCRACKER)"
"1","W C JOHNSON PARK"
"1","S FORK HOLSTON RIVER"
"1","PARKSVILLE RESERVOIR"
"1","ST. GEORGE LAKE"
"1","WARDLOW POCKET CHUTE"
"1","N.F. SO. HOLSTON RIVER"
"1","OCOEE LAKE #3"
"1","FT. PILLOW STATE PARK"
"1","KIMBROUGH POND"
"1","INDIAN CAMP CREEK"
"1","TELLICO (Little) RIVER"
"1","LEVER LAKE"
"1","OAK LAKE"
"1","RED FORK"
"1","MORGAN CREEK"
"1","SULFUR FORK CREEK"
"1","CHCKAMAUGA RES"
"1","FT. LOUDON RS"
"1","HOLSTON RES"
"1","DUNAWAY LAKE"
"1","OCOEE LAKE THREE"
"1","GOOSE POND"
"1","LAUREL FORK CREEK"
"1","NCKAJACK RES"
"1","WILBUR LAKE"
"1","VALENTINE PARK LAKE"
"1","HIGGINS CREEK"
"1","HATCHIE WILDLIFE REFUGE"
"1","WHITE OAK CREEK"
"1","INDIAN CREEK NORTH"
"1","WILLIAMSPORT (BLUECAT LAKE)"
"1","WEAKLEY CREEK"
"1","WALKERS LAKE"
"1","LOWER HIGGINS CREEK"
"1","ALUM CAVEY CREEK"
"1","RUTHERFORD CREEK"
"1","STANDING STONE STATE PARK"
"1","BYRD LAKE"
"1","STONES RIVER EAST FORK"
"1","STONY CREEK"
"1","LOUDON CITY LAKE"
"1","NORRIS RESERVIOR"
"1","WOLF CREEK"
"1","WATAUGA  RES"
"1","PATRICK HENRY RES"
"1","TELLICO"
"1","CANEY FORK RESERVOIR"
"1","BLOUNT LAKE"
"1","HOLTON RIVER"
"1","POWELL LAKE"
"1","CHILHOWEE LAKE"
"1","MELTON HILL RSERVOIR"
"1","RICKWICK RES"
"1","BUTLER CREEK"
"1","STONES RIVER WEST FORK"
"1","HUNTSVILLE CITY LAKE"
"1","MCCALL POND"
"1","LICK CREEK"
"1","OLE RIVER"
"1","BOSTON BRANCH LAKE"
"1","CENTER GILL RES"
"1","ROBINETTE POND"
"1","GRASSHOPPER CREEK"
"1","MOUNTAIN CREEK"
"1","BUCHANAN CREEK"
"1","WOLFTEVER CREEK"
"1","HIWASEE RIVER"
"1","POSSUM  CREEK"
"1","BROWNE RES"
"1","LITTLE MUD LAKE"
"1","BIG BIGBY CREEK"
"1","QUARRY IN MORRISTOWN"
"1","LAKE SHERWOOD"
"1","CHIEF CREEK LAKE"
"1","HOLSTON RESERVOIR"
"1","HUNTSVILLE WATERSHED LAKE"
"1","IRON LAKE"
"1","W.C. JOHNSON PARK LAKE"
"1","PRECY PRIEST RES"
"1","SHORT CREEK"
"1","WATAUAG RES"
"1","S.F. HOLSTEN RIVER"
"1","MOUNTAIN STREAM"
"1","MEADES QUARRY"
"1","DOGWOOD LAKE"
